expirationDate,Strike,CallsOI,CallsVolume,CallLastPrice,CallIV,CallInMoney,Calls_dollarsFromStrike,Calls_dollarsFromStrikeXoi,CallLastPrice,Calls_lastPriceXoi,PutsOI,PutsVolume,PutLastPrice,Puts_lastPriceXoi,PutIV,PutInMoney,Puts_dollarsFromStrike,Puts_dollarsFromStrikeXoi,PutLastPrice,TotalOI
2023-04-06,70.0,5.0,,5.0,0.062509375,False,7.349998474121094,36.74999237060547,5.0,25.0,1.0,2.0,10.3,10.3,1.0000000000000003e-05,True,7.349998474121094,7.349998474121094,10.3,6.0
2023-04-06,71.0,31.0,30.0,2.53,0.12500875,False,8.349998474121094,258.8499526977539,2.53,78.42999999999999,,,,,,,,,,
2023-04-06,72.0,3.0,,3.71,0.12500875,False,9.349998474121094,28.04999542236328,3.71,11.129999999999999,1.0,1.0,11.74,11.74,1.0000000000000003e-05,True,9.349998474121094,9.349998474121094,11.74,4.0
2023-04-06,73.0,4.0,3.0,2.1,0.12500875,False,10.349998474121094,41.399993896484375,2.1,8.4,,,,,,,,,,
2023-04-06,74.0,1.0,1.0,1.84,0.12500875,False,11.349998474121094,11.349998474121094,1.84,1.84,,,,,,,,,,
2023-04-06,75.0,4.0,4.0,2.3,0.12500875,False,12.349998474121094,49.399993896484375,2.3,9.2,,,,,,,,,,
2023-04-06,76.0,1.0,1.0,1.8,0.12500875,False,13.349998474121094,13.349998474121094,1.8,1.8,,,,,,,,,,
2023-04-06,77.0,4.0,3.0,1.42,0.12500875,False,14.349998474121094,57.399993896484375,1.42,5.68,,,,,,,,,,
2023-04-06,78.0,1.0,1.0,1.46,0.12500875,False,15.349998474121094,15.349998474121094,1.46,1.46,,,,,,,,,,
2023-04-06,80.0,47.0,47.0,0.95,0.12500875,False,17.349998474121094,815.4499282836914,0.95,44.65,,,,,,,,,,
2023-04-21,20.0,4.0,1.0,44.0,1.0000000000000003e-05,True,42.650001525878906,170.60000610351562,44.0,176.0,259.0,40.0,0.01,2.59,0.500005,False,42.650001525878906,11046.350395202637,0.01,263.0
2023-04-21,22.5,2.0,2.0,30.7,1.3515657421874998,True,40.150001525878906,80.30000305175781,30.7,61.4,384.0,66.0,0.01,3.84,0.500005,False,40.150001525878906,15417.6005859375,0.01,386.0
2023-04-21,25.0,18.0,10.0,23.6,1.0000000000000003e-05,True,37.650001525878906,677.7000274658203,23.6,424.8,1382.0,2.0,0.02,27.64,0.500005,False,37.650001525878906,52032.30210876465,0.02,1400.0
2023-04-21,30.0,22.0,4.0,43.62,1.0000000000000003e-05,True,32.650001525878906,718.3000335693359,43.62,959.64,3789.0,6.0,0.05,189.45000000000002,0.500005,False,32.650001525878906,123710.85578155518,0.05,3811.0
2023-04-21,35.0,35.0,8.0,28.0,1.0000000000000003e-05,True,27.650001525878906,967.7500534057617,28.0,980.0,2383.0,31.0,0.16,381.28000000000003,0.2500075,False,27.650001525878906,65889.95363616943,0.16,2418.0
2023-04-21,40.0,157.0,1.0,27.6,1.0000000000000003e-05,True,22.650001525878906,3556.0502395629883,27.6,4333.2,3443.0,158.0,0.4,1377.2,0.2500075,False,22.650001525878906,77983.95525360107,0.4,3600.0
2023-04-21,45.0,385.0,1.0,24.3,1.0000000000000003e-05,True,17.650001525878906,6795.250587463379,24.3,9355.5,1660.0,614.0,0.88,1460.8,0.2500075,False,17.650001525878906,29299.002532958984,0.88,2045.0
2023-04-21,50.0,574.0,63.0,14.71,1.0000000000000003e-05,True,12.650001525878906,7261.100875854492,14.71,8443.54,2721.0,489.0,1.72,4680.12,0.12500875,False,12.650001525878906,34420.654151916504,1.72,3295.0
